"categoryName","website","title","emails","phones","address","reviewsCount","placeId"
"Contratista de aire acondicionado","https://www.climelectric.com/","Climelectric Aire acondicionado Valencia",,,"Av. de la Plata, 43, Bajo, Quatre Carreres, 46013 València, Valencia, España","596","ChIJa4nMQMxIYA0RnSMc7MtDSQk"
"Empresa de climatización","http://www.climalem.es/","Climalem",,,"plaza peatonal (Atencion al público con cita previa, Carrer de Salabert, 34, Patraix, 46018 València, Valencia, España","52","ChIJszyBuxRPYA0R1rLkONcTn_8"
"Empresa de climatización",,"Integral del Clima SL",,,"C/ de Montitxelvo, 24, Quatre Carreres, 46006 València, Valencia, España","19","ChIJQ5Wgmc9IYA0RjxwVtEiSKIE"
"Empresa de climatización","https://www.climavita.es/","CLIMAVITA - Soluciones de climatización",,,"Extramurs, 46001 València, Valencia, España","27","ChIJOUk56alPYA0R6DGSoCR0cfk"
"Servicio de reparación de aire acondicionado","https://aireclim.com/","Aire Clim",,,"C. de Bèrnia, 13, Quatre Carreres, 46013 València, Valencia, España","186","ChIJBwUGiDxPYA0RF6IjtX2hqs8"
"Servicio de reparación de aire acondicionado","https://www.grupoaplus.es/aire-acondicionado/aire-acondicionado-en-valencia/","Grupo Aplus",,,"Carrer de Martínez Aloy, 11, Extramurs, 46007 València, Valencia, España","507","ChIJnwkd9u9FYA0RDeeKNWA2-qk"
"Servicio de reparación de aire acondicionado",,"Fontanero ciudad vella valencia 24H",,,"Carrer de Ciscar, L'Eixample, 46005 València, Valencia, España","53","ChIJqcWk8vtJYA0RncT9BzBZbC4"
"Servicio de reparación de aire acondicionado","http://www.climasolution.net/","Clima Solution",,,"Gran Via del Marqués del Túria, 49-1-1, Ensanche, 46005 València, Valencia, España","140","ChIJxzCtqVBJYA0RVgIA52CDJQA"
"Servicio de reparación de aire acondicionado","http://www.midasatclima.com/","Midasat Clima.",,,"Carrer de Molina del Palau, 26, bajo, Quatre Carreres, 46013 València, Valencia, España","55","ChIJHT6cztNIYA0RHes0wxsR-zE"
"Tienda de productos para mascotas","https://tiendas.kiwoko.com/comunidad-valenciana/valencia/masalfasar/kiwoko-valencia-el-manar-71?utm_medium=maps&utm_source=google","Kiwoko. Mundo Animal",,,"El Manar, Carretera Cv-32 s/n P.C, Local 3, 46560 Massalfassar, Valencia, España","1824","ChIJzWwTMllHYA0RYIzJ23nZ1xE"
