"rank","company_name","score","category","website","address","rating","review_count","email","email_status","phone","whatsapp","contact_name","contact_role","contact_source","why_good_fit","potential_pain","personalization_note","contact_priority"
"1","Grupo Aplus","95.0","Servicio de reparación de aire acondicionado","https://www.grupoaplus.es/aire-acondicionado/aire-acondicionado-en-valencia/","Carrer de Martínez Aloy, 11, Extramurs, 46007 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","507","no encontrado","no_email_found","865 603 008 / 600 692 689","no encontrado publicamente","no encontrado","no encontrado","https://www.grupoaplus.es/contacto/ ; https://www.cylex.es/valencia/grupo-aplus-aire-acondicionado-valencia-13782714.html","El mayor volumen de reseñas del dataset entre empresas puras de servicio (507). Grupo con delegaciones en Valencia, Alicante, Elche y Murcia, equipo de ingenieros propio y cartera residencial + proyectos comerciales. Instalación, reparación y mantenimiento de climatización y energías renovables.","Atención 'con cita previa' y varias delegaciones: el teléfono central concentra leads de 4 provincias. Cada llamada perdida fuera de horario es un presupuesto de instalación completo que se va a la competencia.","Empresa con 507 reseñas y delegaciones en 4 provincias (Valencia, Alicante, Elche, Murcia). Solo ofrecen formulario web, sin email directo: señal clara de que el teléfono es el canal principal de entrada. Buen candidato para hablar de captación multi-delegación, calificación de leads y recuperación de llamadas perdidas fuera del horario de cita previa.","A"
"2","Climelectric Aire acondicionado Valencia","87.0","Contratista de aire acondicionado","https://www.climelectric.com/","Av. de la Plata, 43, Bajo, Quatre Carreres, 46013 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","596","climelectricvalencia@gmail.com","possible_email","963 766 379 / 960 659 140 / 632 194 082","no encontrado publicamente","no encontrado","no encontrado","https://www.cylex.es/valencia/climelectric-12855746.html ; https://www.climelectric.com/contactar","596 reseñas, el volumen más alto entre empresas de servicio del dataset. Más de 20 años declarados, gama domestica y comercial/industrial, con mantenimiento, instalación y reparación. Tres números de teléfono publicados: señal de varias líneas de entrada.","Tres teléfonos públicos y 596 reseñas implican un flujo de llamadas alto y disperso. Sin un filtro previo, el equipo técnico pierde horas en consultas que no acaban en trabajo.","596 reseñas: probablemente el mayor flujo de clientes del dataset entre empresas de servicio puro. Publican TRES teléfonos distintos, señal de que el canal telefónico está saturado y sin cualificar. Email localizado en directorio (Cylex), no en su web: confirmar antes de usar.","A"
"3","Aire Clim","86.1","Servicio de reparación de aire acondicionado","https://aireclim.com/","C. de Bèrnia, 13, Quatre Carreres, 46013 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","186","info@aireclim.com","verified_public_email","691 257 547","Si (declarado en su web; numero no confirmado por separado)","no encontrado","no encontrado","https://aireclim.com/contacto/ ; https://aireclim.com/","186 reseñas, web propia bien estructurada con secciones de instalación, climatización y servicio técnico. Ofrece contacto por formulario, teléfono y WhatsApp: ya trabaja captación multicanal.","Horario 9-18 de lunes a viernes, cerrado fines de semana. Ya usan WhatsApp y formulario, así que reciben consultas 24/7 pero solo pueden responderlas en horario de oficina: cola de leads sin atender cada noche y cada fin de semana.","Ya captan por formulario + teléfono + WhatsApp pero cierran a las 18:00 y no abren fines de semana. El discurso natural es: 'los leads siguen entrando cuando cerráis, quién los responde'. Email de contacto público y verificado en su propia pagina.","A"
"4","Electricidad Gallardo","86.1","Contratista de aire acondicionado","https://electricistasvalencia.eu/","Carrer del Navili, 5, Campanar, 46009 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","258","contacto@electricistasvalencia.eu","verified_public_email","655 608 439","no encontrado publicamente","Jordi Gallardo","Titular / electricista responsable (25+ años de experiencia, según fichas públicas)","https://www.electricistabarato.es/electricidad-gallardo-valencia/ ; https://www.aireycalefaccion.es/empresa/electricidad-gallardo-valencia-4100366/ ; https://www.yelp.com/biz/electricidad-gallardo-valencia","258 reseñas con horario amplio (L-V 08:00-20:00). Combina electricidad con aire acondicionado y calefacción, lo que multiplica los motivos de llamada entrante.","12 horas de atención declaradas al día con un equipo pequeno: es imposible que alguien coja el teléfono mientras están en casa del cliente. Mezcla de urgencias eléctricas y climatización sin triaje.","258 reseñas y horario declarado 08:00-20:00: prometen 12 horas de disponibilidad que un equipo pequeno no puede cubrir con el móvil en la mano. Titular identificado (Jordi Gallardo). Email propio verificado. Encaje muy directo con 'no perder ninguna llamada y filtrar urgencias'.","A"
"5","Layre","85.9","Servicio de reparación de aire acondicionado","http://www.layre.es/","Carrer de Motilla del Palancar, 4, bajo, Rascaña, 46019 València, Valencia, España","4,8 (fuente: oopiniones.com, sin verificar en Google)","212","no encontrado","no_email_found","688 91 93 23","no encontrado publicamente","no encontrado","no encontrado","https://empresite.eleconomista.es/LAYRE-CLIMATIZACION.html ; https://www.oopiniones.com/aire-acondicionado-valencia-layre-climatizacion-sl-51012 ; https://www.facebook.com/LAYRECLIMATIZACION/","212 reseñas y más de 20 años en el mercado. Sociedad limitada (Layre Climatización S.L.) con clientes residenciales y comerciales, en climatización y ventilación.","Horario partido (9-14 y 16-18) con dos ventanas cerradas al día: las llamadas de avería en verano se concentran justo en las horas sin cobertura.","S.L. consolidada, 212 reseñas y 20+ años, con horario partido 9-14 / 16-18. El hueco de mediodía y la tarde-noche son el argumento más directo: en temporada alta de averías esas son horas de maxima demanda. Sin email público, solo teléfono: entrada por llamada.","A"
"6","Climargas","85.7","Empresa de climatización","http://www.climargas.es/","Carrer d'Anna, 9, BAJO, Rascaña, 46019 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","125","info@climargas.es","verified_public_email","961 939 219","no encontrado publicamente","no encontrado","no encontrado","http://climargas.es/contacto/ ; https://www.energias-renovables.com/empresas/climargas ; https://empresite.eleconomista.es/CLIMENT-MARTINEZ-GAS.html","125 reseñas. Razon social CLIMENT MARTINEZ GAS S.L.U., empresa instaladora autorizada por la Conselleria de Industria y colaboradora de Gas Natural. Cartera de servicios muy amplia: gas, calefacción, fontanería, climatización y aerotermia.","Ser colaborador de Gas Natural y empresa autorizada genera llamadas de trámite (certificados, revisiones, altas) que saturan la línea y no siempre requieren un técnico al teléfono.","Instaladora autorizada por Conselleria y colaboradora de Gas Natural: mucha llamada de trámite y revisión, además de averías. Cinco líneas de servicio (gas, calefacción, fontanería, clima, aerotermia) = muchas preguntas repetitivas que una recepcionista AI puede resolver sin pasar al técnico.","A"
"7","Técnicos Fernando Valencia","85.6","Servicio de reparación de aire acondicionado","https://tecnicosvalencia.es/","C/ del Riu Nervión, 19, Benicalap, 46025 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","123","info@tecnicosvalencia.es","verified_public_email","643 566 948","no encontrado publicamente","no encontrado","no encontrado","https://tecnicosvalencia.es/contacto-instalaciones-reparaciones-televisores-lavadoras-frigorificos-secadoras-ordenadores-aires-acondicionados-termos-calentadores-antenas/ ; https://trustlocal.es/valencia/valencia/instalador-aire-acondicionado/tecnicos-fernando-valencia/","123 reseñas. Horario muy amplio: L-V 08:00-19:00 y sábados 09:00-14:00, con urgencias declaradas. Instalación y reparación de aire acondicionado, termos, calentadores y electrodomésticos.","11 horas diarias más sábados y urgencias con una plantilla pequeña: el teléfono suena mientras el técnico está en una reparación. Alto volumen de llamadas repetitivas de bajo valor (precios, plazos, marcas).","Horario declarado 08:00-19:00 más sábados y urgencias: prometen mucha disponibilidad con estructura pequeña. Multiservicio (clima + electrodomésticos + termos) implica muchas llamadas de consulta básica facilmente automatizables. Email propio verificado.","A"
"8","AEROTERMIA y PLACAS SOLARES Flavio Severini","85.3","Empresa de climatización","https://www.aeroclimapro.es/","C/ del Pare Tena, 3, La Saïdia, 46009 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","194","flavio@implica-t.com","possible_email","+34 672 35 34 35","672 353 435","Flavio Severini","Fundador / responsable técnico (perfil LinkedIn propio de AEROCLIMAPRO)","https://www.linkedin.com/in/flavio-severini-42281869/ ; https://aeroclimapro.es/ ; https://www.houzz.es/profesionales/servicios-de-climatizacion/solar-panels-and-aerotermia-flavio-severini-pfvwes-pf~1580984332","194 reseñas y especialización en aerotermia + placas solares + aire acondicionado: ticket medio alto y ciclo de venta consultivo (estudios a medida). 16 años de experiencia declarados. Persona de contacto identificada por nombre y cargo.","Negocio de ticket alto que depende de captar y cualificar bien cada consulta. Un técnico-fundador que atiende el teléfono mientras instala pierde leads de aerotermia de varios miles de euros.","Aerotermia y fotovoltaica además de aire acondicionado: ticket medio alto y venta consultiva. Fundador identificado (Flavio Severini) con LinkedIn activo, lo que facilita un primer contacto personal. OJO: el email publicado está en el dominio implica-t.com, no en aeroclimapro.es -> confirmar antes de escribir.","A"
"9","Viventia | Servicios Integrales","84.7","Contratista de aire acondicionado","https://www.viventia.eu/","C/ del Marqués de Montortal, 77, Rascanya, 46019 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","90","viventia@viventia.eu","verified_public_email","963 680 491","no encontrado publicamente","no encontrado","no encontrado","https://www.viventia.eu/contacto/ ; https://infonif.economia3.com/telefono-direccion/valencia/viventia-servicios-integrales-sl","90 reseñas. S.L. de servicios integrales (energia, obras, fontanería, reformas) que declara explicitamente instalación y mantenimiento de climatización para viviendas, oficinas, empresas y edificios de pública concurrencia.","Cartera B2B de mantenimiento: cada aviso de una oficina o comunidad entra por teléfono y debe registrarse y priorizarse. Cierran a las 15:00 los viernes.","De las pocas del listado que declaran abiertamente cartera de empresas, oficinas y edificios de pública concurrencia, además de vivienda. El mantenimiento B2B genera avisos recurrentes que hay que registrar y priorizar: encaje directo con captura y calificación automática. Email corporativo verificado.","A"
"10","Climelgas Servicio Técnico de Valencia","84.0","Servicio de reparación de aire acondicionado","http://www.serviciotecnicodevalencia.es/","C/ de Molinell, 16, Bajo Izquierdo, La Zaidía, 46010 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","95","no encontrado","no_email_found","961 338 306 / 677 629 065 (urgencias)","no encontrado publicamente","no encontrado","no encontrado","https://www.serviciotecnicodevalencia.es/contacto/ ; https://www.paginasamarillas.es/f/valencia/climelgas-servicio-tecnico-de-valencia_231837089_000000001.html","95 reseñas. Servicio técnico multiservicio con urgencias 24h: electrodomésticos, aire acondicionado y calefacción, instalación y reparación. Dos direcciones publicadas en Valencia.","Prometen asistencia 24 horas para urgencias del hogar. Ese compromiso solo se sostiene si alguien responde de madrugada; si no, la promesa se convierte en reseñas negativas.","Se posicionan como urgencias 24 horas con una línea especifica de urgencias (677 629 065). Es el perfil donde el coste de una llamada no atendida es más evidente y más fácil de cuantificar en la conversación comercial.","A"
"11","Clima Solution","83.3","Servicio de reparación de aire acondicionado","http://www.climasolution.net/","Gran Via del Marqués del Túria, 49-1-1, Ensanche, 46005 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","140","info@climasolution.es","possible_email","603 312 060 / 960 223 228","no encontrado publicamente","no encontrado","no encontrado","https://climasolution.es/contactanos/ ; https://www.paginasamarillas.es/f/valencia/clima-solution_234284065_000000001.html","140 reseñas. Declaran 15+ años de experiencia y cobertura de toda la provincia de Valencia, con instalación, reparación y mantenimiento para vivienda, comercio e industria.","Cobertura provincial completa con oficina en el centro: el desplazamiento es caro y cada visita mal cualificada por teléfono es un día de técnico perdido.","140 reseñas y cobertura de toda la provincia con perfil residencial + comercial + industrial. AVISO: en Google Maps figura climasolution.net pero la web activa localizada es climasolution.es (mismo domicilio y marca) -> confirmar el dominio correcto antes de escribir.","B"
"12","Estracfrigus S L","83.3","Servicio de reparación de aire acondicionado","http://estracfrigus.es/","Cami Cases de Barcena, 43, 46131 Les Cases de Bàrcena, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","52","n.blanco@estracfrigus.es","verified_public_email","963 663 286","no encontrado publicamente","no encontrado","no encontrado","https://estracfrigus.es/index.php?s=contacto.php&tit=Contacto ; https://www.daikin.es/es_es/donde-encontrar-daikin/red-de-asistencia-tecnica/satos/estracfrigus-sl.html","52 reseñas. Aparece en la red oficial de asistencia técnica de Daikin, lo que garantiza flujo continuo de avisos derivados del fabricante además de los propios. S.L. con instalaciones de fontanería, refrigeración y climatización.","Ser SAT oficial de Daikin significa recibir avisos derivados que hay que registrar, agendar y confirmar. Ese trabajo administrativo por teléfono es puro coste y es exactamente lo automatizable.","SAT dentro de la red oficial Daikin (verificado en daikin.es): recibe avisos derivados del fabricante además de los propios, con la carga administrativa de agendar y confirmar cada uno. Email en dominio propio (n.blanco@), lo que sugiere contacto directo con persona concreta.","B"
